species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
fin_whale,36181.38682766497,35.95960457287214,37.93670412492088,-2.3398266069338547,1,257.2,0.0,1.0,0.6,1.0,0.6,0.0,0.0,0.6,0.8,1.0,1.2,1.0,0.901,0.3,3.0,7732.700000000001,morris,65,7,2
fin_whale,33354.3913839818,35.92865918404931,37.76097935539383,-2.50622338588164,1,260.4,0.0,1.0,0.6,1.0,0.6,0.0,0.6,0.6,0.8,1.0,1.2,1.0,0.901,0.3,9.0,7732.700000000001,morris,66,7,3
fin_whale,36960.86927092262,35.90784892640113,37.20855080639575,-2.5460432105365953,1,292.6,0.6,1.0,0.6,1.0,0.6,0.0,0.6,0.6,1.07,1.0,1.2,1.0,0.901,0.3,9.0,7732.700000000001,morris,67,7,4
fin_whale,34387.414341940035,35.92164391426485,37.01564227341936,-2.1613290180769127,1,366.5,0.6,1.0,0.0,1.0,0.6,0.0,0.6,0.6,1.07,1.0,0.75,1.0,0.901,0.3,9.0,7732.700000000001,morris,68,7,5
fin_whale,40721.38008668307,35.9494033061095,37.97992262432746,-2.0285716186201626,1,357.5,0.6,1.0,0.0,1.0,0.6,0.6,0.6,0.6,1.07,1.0,0.75,1.0,0.901,0.6,9.0,7732.700000000001,morris,69,7,6
fin_whale,40690.186245567515,35.93302488624056,37.90529949722031,-2.028571618539445,1,363.0,0.6,1.0,0.0,1.0,0.6,0.6,0.6,0.0,1.07,1.0,0.75,1.0,0.901,0.6,9.0,5106.5,morris,70,7,7
fin_whale,43189.905219873435,35.9186783410949,37.70673127086161,-2.0339812021341004,1,368.5,0.6,0.4,0.0,1.0,0.6,0.6,0.6,0.0,1.07,0.82,0.75,1.0,0.901,0.6,9.0,5106.5,morris,71,7,8
fin_whale,47878.42885721041,35.91263125861019,38.27528163602415,-2.021087902137424,1,315.8,0.8,0.6,0.4,0.8,0.0,0.8,0.6,0.8,1.1600000000000001,0.88,1.05,0.9,0.595,0.7,9.0,8608.1,morris,72,8,0
fin_whale,47707.793505997106,35.92560547798587,38.275281634155874,-2.0210879020126526,1,298.3,0.8,0.6,0.4,0.8,0.6,0.8,0.6,0.8,1.1600000000000001,0.88,1.05,0.9,0.901,0.7,9.0,8608.1,morris,73,8,1
fin_whale,52485.74288829649,35.95944924812585,38.27295305155121,-2.036218070877055,1,250.6,0.8,0.6,0.4,0.8,0.6,0.8,0.0,0.8,1.1600000000000001,0.88,1.05,0.9,0.901,0.7,3.0,8608.1,morris,74,8,2
fin_whale,52453.201194673195,35.943072562464124,38.209161638304124,-2.036218070827715,1,240.6,0.8,0.6,0.4,0.8,0.6,0.8,0.0,0.2,1.1600000000000001,0.88,1.05,0.9,0.901,0.7,3.0,5981.9,morris,75,8,3
fin_whale,55764.311561264054,35.9312937058221,38.54144512807136,-2.0168611941558083,1,192.9,0.8,0.6,1.0,0.8,0.6,0.8,0.0,0.2,1.1600000000000001,0.88,1.5,0.9,0.901,0.7,3.0,5981.9,morris,76,8,4
fin_whale,52525.89917815589,35.88888088991604,38.80200055874491,-2.0168611948266175,1,197.2,0.8,0.6,1.0,0.2,0.6,0.8,0.0,0.2,1.1600000000000001,0.88,1.5,0.6,0.901,0.7,3.0,5981.9,morris,77,8,5
fin_whale,55872.97090432436,35.85987850607296,38.54670052586857,-2.0222997767659763,1,242.0,0.8,0.0,1.0,0.2,0.6,0.8,0.0,0.2,1.1600000000000001,0.7,1.5,0.6,0.901,0.7,3.0,5981.9,morris,78,8,6
fin_whale,52026.49695446055,35.89302069615462,38.832985387290194,-2.016049821665831,1,219.6,0.2,0.0,1.0,0.2,0.6,0.8,0.0,0.2,0.89,0.7,1.5,0.6,0.901,0.7,3.0,5981.9,morris,79,8,7
fin_whale,42645.474370694574,35.86069289013926,38.03357115902065,-2.1139806059092052,1,217.2,0.2,0.0,1.0,0.2,0.6,0.2,0.0,0.2,0.89,0.7,1.5,0.6,0.901,0.4,3.0,5981.9,morris,80,8,8
fin_whale,38040.99504712374,35.878707617803684,37.09619834099044,-2.8062417868978855,1,229.1,0.4,0.4,1.0,0.6,1.0,0.0,0.4,0.6,0.98,0.82,1.5,0.8,0.98,0.3,7.0,7732.700000000001,morris,81,9,0
fin_whale,34413.930540806905,35.81983632502926,37.08976692995543,-2.6650093422329064,1,231.5,0.4,0.4,1.0,0.0,1.0,0.0,0.4,0.6,0.98,0.82,1.5,0.5,0.98,0.3,7.0,7732.700000000001,morris,82,9,1
fin_whale,42814.723705929806,35.860257210672046,38.85770119493668,-2.133547593238859,1,251.8,0.4,0.4,1.0,0.0,1.0,0.6,0.4,0.6,0.98,0.82,1.5,0.5,0.98,0.6,7.0,7732.700000000001,morris,83,9,2
fin_whale,41689.68986403684,35.84962871428246,38.81891251392153,-2.2414300147169683,1,254.0,0.4,0.4,1.0,0.0,1.0,0.6,1.0,0.6,0.98,0.82,1.5,0.5,0.98,0.6,13.0,7732.700000000001,morris,84,9,3
fin_whale,41789.521599914544,35.836895010408966,38.81891239889444,-2.0068522486393476,1,252.6,0.4,0.4,1.0,0.0,0.4,0.6,1.0,0.6,0.98,0.82,1.5,0.5,0.7989999999999999,0.6,13.0,7732.700000000001,morris,85,9,4
fin_whale,44884.886990930696,35.80093266626568,38.345798425002044,-2.0094352264781037,1,290.1,1.0,0.4,1.0,0.0,0.4,0.6,1.0,0.6,1.25,0.82,1.5,0.5,0.7989999999999999,0.6,13.0,7732.700000000001,morris,86,9,5
fin_whale,44831.13986401429,35.76922645669657,38.25077202344676,-2.0094352264728172,1,290.1,1.0,0.4,1.0,0.0,0.4,0.6,1.0,0.0,1.25,0.82,1.5,0.5,0.7989999999999999,0.6,13.0,5106.5,morris,87,9,6
fin_whale,42287.465383969655,35.798900714809406,38.64567587716505,-2.0073080162686665,1,263.6,1.0,1.0,1.0,0.0,0.4,0.6,1.0,0.0,1.25,1.0,1.5,0.5,0.7989999999999999,0.6,13.0,5106.5,morris,88,9,7
fin_whale,40335.26038066071,35.81413706846894,38.324898314748,-2.0160216947008394,1,310.6,1.0,1.0,0.4,0.0,0.4,0.6,1.0,0.0,1.25,1.0,1.05,0.5,0.7989999999999999,0.6,13.0,5106.5,morris,89,9,8
