species,q_loss_W,core_temp_C,T_max_C,T_min_C,alive,solve_s,u_k_blub,u_BCI,u_h,u_omega_core,u_cche,u_ava,u_Ttn,u_fmr,phys_k_blub_scale,phys_BCI,phys_h_scale,phys_omega_core,phys_rete_eff,phys_ava,phys_Ttn,phys_fmr_watts,design,design_idx,morris_traj,morris_step
humpback,30597.384910822635,35.40020243045467,36.478303318394524,-2.0656080138842867,1,64.9,0.8,0.0,0.8,0.2,0.2,0.6,1.0,0.4,1.1600000000000001,0.7,1.35,0.6,0.697,0.6,30.0,3632.16,morris,49,5,4
humpback,28661.911618464903,35.4335708649333,36.48166396935807,-1.7108852570964928,1,57.8,0.8,0.0,0.2,0.2,0.2,0.6,1.0,0.4,1.1600000000000001,0.7,0.9,0.6,0.697,0.6,30.0,3632.16,morris,50,5,5
humpback,28326.12099338267,35.49418702130191,36.84491054444425,-2.2130507712996064,1,99.8,0.8,0.0,0.2,0.2,0.8,0.6,1.0,0.4,1.1600000000000001,0.7,0.9,0.6,0.98,0.6,30.0,3632.16,morris,51,5,6
humpback,28371.643366910946,35.53448448697276,37.21063282258763,-2.213501952082936,1,109.4,0.8,0.0,0.2,0.2,0.8,0.6,1.0,1.0,1.1600000000000001,0.7,0.9,0.6,0.98,0.6,30.0,5023.2,morris,52,5,7
humpback,23085.23097256577,35.4652572477533,37.184743579629185,-2.6945114664703738,1,110.9,0.8,0.0,0.2,0.2,0.8,0.0,1.0,1.0,1.1600000000000001,0.7,0.9,0.6,0.98,0.3,30.0,5023.2,morris,53,5,8
humpback,21870.005144847404,35.524780010591485,37.27921750543294,-2.4342142704637695,1,106.3,0.4,0.6,0.2,0.0,0.8,0.2,0.0,0.8,0.98,0.88,0.9,0.5,0.98,0.4,20.0,4559.52,morris,54,6,0
humpback,21865.993701124768,35.5246264824155,37.280247947161,-2.4344235912595877,1,106.4,0.4,0.6,0.2,0.0,0.8,0.2,0.6,0.8,0.98,0.88,0.9,0.5,0.98,0.4,26.0,4559.52,morris,55,6,1
humpback,21819.401986397286,35.4760810149981,36.85242007539597,-2.433198508378325,1,108.2,0.4,0.6,0.2,0.0,0.8,0.2,0.6,0.2,0.98,0.88,0.9,0.5,0.98,0.4,26.0,3168.48,morris,56,6,2
humpback,22983.226368638432,35.42632285008153,36.83550081457685,-2.4425417674099776,1,111.4,0.4,0.0,0.2,0.0,0.8,0.2,0.6,0.2,0.98,0.7,0.9,0.5,0.98,0.4,26.0,3168.48,morris,57,6,3
humpback,28031.64511620166,35.49627686608113,36.86236216874812,-1.9710670515030415,1,110.6,0.4,0.0,0.2,0.0,0.8,0.8,0.6,0.2,0.98,0.7,0.9,0.5,0.98,0.7,26.0,3168.48,morris,58,6,4
