species,common_name,variant,parameter_group,parameter_level,description,T_water_C,mode,thermoneutral_C,cche_saturation_C,appendage_perfusion_max,h_scale,cche_max_delta,blubber_k_scale,body_condition_index,core_temp_C,T_min_C,T_max_C,Q_loss_W,maintenance_Mcal_day,TES,thermal_window_fraction,R_spec_m2K_W,FAmin_uncapped,alive,death_cause,energy_balance,delta_core_C,delta_TES,delta_Q_loss_W,delta_Q_loss_pct,delta_Mcal_day,delta_Mcal_day_pct
humpback,Humpback Whale,appendage_perf_0p3,appendage perfusion,0.3 kg m-3 s-1,Lower dilated appendage AVA perfusion,30.0,active,25.0,5.0,0.3,1.0,0.0,1.0,1.0,36.014758593054125,30.050122093219784,36.251084342560034,6266.141558297825,129.39642223636045,-0.3506227497995717,0.59146006552087,0.12312927307273627,1.6216722459362902,True,,"{""deep_body_C"": 36.07246528091093, ""interface_C"": 35.887393784733945, ""q_balance_resid_frac"": 7.107560378688558e-07, ""q_loss_W"": 6266.141558297826, ""q_loss_over_q_met"": 1.6216722459362904, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 2402.1371045998794, ""q_perf_over_q_met"": 0.6216710933229501, ""skin_C"": 30.964485271606407}",-0.004095053686910433,0.0,-1394.5077539391077,-18.203519011261292,-28.796718436983497,-18.2035190112613
humpback,Humpback Whale,appendage_perf_0p8,appendage perfusion,0.8 kg m-3 s-1,Higher dilated appendage AVA perfusion,-2.0,active,25.0,5.0,0.8,1.0,0.0,1.0,1.0,35.64362851072502,-1.8388996333137584,37.04068538468567,30714.787134868184,634.2632907391518,-0.8966684302737565,0.4751577701490655,0.15688307103616703,7.94896147382717,True,,"{""deep_body_C"": 36.043244365250075, ""interface_C"": 34.57874972511257, ""q_balance_resid_frac"": 2.621996702777884e-05, ""q_loss_W"": 30714.78713486818, ""q_loss_over_q_met"": 7.948961473827168, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 26849.98179416224, ""q_perf_over_q_met"": 6.94875305231942, ""skin_C"": 2.575951686022904}",0.04448669305298836,0.0,4820.120711114101,18.614337918994917,99.53595349910563,18.6143379189949
humpback,Humpback Whale,appendage_perf_0p8,appendage perfusion,0.8 kg m-3 s-1,Higher dilated appendage AVA perfusion,10.0,active,25.0,5.0,0.8,1.0,0.0,1.0,1.0,35.784965772896896,10.125143145204845,36.788362952061846,21126.657214225255,436.26749123065537,-0.8951481511919889,0.47697552062802623,0.1565025965382441,5.467561390845045,True,,"{""deep_body_C"": 36.04946862030147, ""interface_C"": 35.069465181997316, ""q_balance_resid_frac"": 2.264331431066606e-05, ""q_loss_W"": 21126.657214225255, ""q_loss_over_q_met"": 5.467561390845045, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 17262.17883668562, ""q_perf_over_q_met"": 4.4674375871339596, ""skin_C"": 13.150306566530958}",0.030130597236961876,0.0,3315.494670018954,18.614701099886563,68.4652819047891,18.61470109988656
humpback,Humpback Whale,appendage_perf_0p8,appendage perfusion,0.8 kg m-3 s-1,Higher dilated appendage AVA perfusion,30.0,active,25.0,5.0,0.8,1.0,0.0,1.0,1.0,36.02308997923063,30.050122385131544,36.41806804072155,9327.16873356831,192.60692604691727,-0.3506227497995717,0.6510120723600303,0.0849299057481303,2.413863543884138,True,,"{""deep_body_C"": 36.0725201526966, ""interface_C"": 35.889102043801756, ""q_balance_resid_frac"": 4.1033192753027243e-07, ""q_loss_W"": 9327.16873356831, ""q_loss_over_q_met"": 2.413863543884138, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 5463.164906333184, ""q_perf_over_q_met"": 1.4138625533988571, ""skin_C"": 31.49090570133359}",0.0042363324895973165,0.0,1666.5194213313762,21.754284178879182,34.41378537357332,21.75428417887916
humpback,Humpback Whale,h_0p75,surface conductance,0.75x,All regional water-side h values scaled down,-2.0,active,25.0,5.0,0.5,0.75,0.0,1.0,1.0,35.617098976998136,-2.1381573296040983,36.48018157713847,24551.75504680266,506.9960889205903,-0.8966684302737565,0.44021268903147764,0.19344643423384258,6.353973873396134,True,,"{""deep_body_C"": 36.04365597804201, ""interface_C"": 34.63986888331294, ""q_balance_resid_frac"": 4.5819629330825547e-05, ""q_loss_W"": 24551.75504680266, ""q_loss_over_q_met"": 6.353973873396134, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 20686.630094486994, ""q_perf_over_q_met"": 5.3536827366684765, ""skin_C"": 2.7824244444514648}",0.017957159326101646,0.0,-1342.9113769514224,-5.186053973336852,-27.731248319455858,-5.18605397333687
humpback,Humpback Whale,h_0p75,surface conductance,0.75x,All regional water-side h values scaled down,10.0,active,25.0,5.0,0.5,0.75,0.0,1.0,1.0,35.7671475247048,9.918669250167113,36.467319827436256,16886.91401334082,348.7163888032138,-0.8951481511919889,0.4421491048661417,0.19344870733434963,4.370319361630647,True,,"{""deep_body_C"": 36.05009685099287, ""interface_C"": 35.11134946658319, ""q_balance_resid_frac"": 3.9792831749480645e-05, ""q_loss_W"": 16886.91401334082, ""q_loss_over_q_met"": 4.370319361630647, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 13022.242035212717, ""q_perf_over_q_met"": 3.3701454542475977, ""skin_C"": 13.292388079432158}",0.012312349044862003,0.0,-924.2485308654832,-5.189153310860818,-19.085820522652455,-5.189153310860826
humpback,Humpback Whale,h_0p75,surface conductance,0.75x,All regional water-side h values scaled down,30.0,active,25.0,5.0,0.5,0.75,0.0,1.0,1.0,36.02098082221221,30.138915409516528,36.31193763828327,7021.990575489468,145.00477670226817,-0.3506227497995717,0.6203213029753926,0.1109452251423894,1.8172853456235682,True,,"{""deep_body_C"": 36.07288994484918, ""interface_C"": 35.898845095615286, ""q_balance_resid_frac"": 5.424295591163466e-07, ""q_loss_W"": 7021.990575489468, ""q_loss_over_q_met"": 1.8172853456235682, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 3157.986766554216, ""q_perf_over_q_met"": 0.8172843598742795, ""skin_C"": 31.485159302876923}",0.0021271754711733593,0.0,-638.6587367474649,-8.336874731066034,-13.188363971075773,-8.336874731066045
humpback,Humpback Whale,h_1p25,surface conductance,1.25x,All regional water-side h values scaled up,-2.0,active,25.0,5.0,0.5,1.25,0.0,1.0,1.0,35.587427927969884,-2.438669329777156,36.48340239044461,26799.123665727468,553.4044657549839,-0.8966684302737565,0.43443419803499356,0.17723889254298028,6.935591010799034,True,,"{""deep_body_C"": 36.042652873768816, ""interface_C"": 34.52858786125768, ""q_balance_resid_frac"": 4.0965040038464485e-05, ""q_loss_W"": 26799.123665727468, ""q_loss_over_q_met"": 6.935591010799034, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 22934.025838553505, ""q_perf_over_q_met"": 5.935306894035587, ""skin_C"": 1.1146554051397288}",-0.011713889702150482,0.0,904.457241973385,3.4928321808528673,18.67712851493775,3.492832180852826
humpback,Humpback Whale,h_1p25,surface conductance,1.25x,All regional water-side h values scaled up,10.0,active,25.0,5.0,0.5,1.25,0.0,1.0,1.0,35.74679769441775,9.704566134821391,36.469698357237235,18433.626835368515,380.65615644738045,-0.8951481511919889,0.4363754226182104,0.17723290636233446,4.770607359049823,True,,"{""deep_body_C"": 36.049131029092905, ""interface_C"": 35.03515819311252, ""q_balance_resid_frac"": 3.639852077517475e-05, ""q_loss_W"": 18433.626835368512, ""q_loss_over_q_met"": 4.770607359049822, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 14568.955878619183, ""q_perf_over_q_met"": 3.7704337159987533, ""skin_C"": 12.144411615943454}",-0.00803748124218373,0.0,622.4642911622141,3.494798779233488,12.853947121514182,3.4947987792334905
humpback,Humpback Whale,h_1p25,surface conductance,1.25x,All regional water-side h values scaled up,30.0,active,25.0,5.0,0.5,1.25,0.0,1.0,1.0,36.0173787703996,30.000968137446705,36.366401453231504,8111.900919759366,167.51152950937123,-0.3506227497995717,0.6258047110900714,0.09686737748227546,2.0993532401033557,True,,"{""deep_body_C"": 36.072302159833725, ""interface_C"": 35.88122490658384, ""q_balance_resid_frac"": 5.071009428103967e-07, ""q_loss_W"": 8111.900919759368, ""q_loss_over_q_met"": 2.099353240103356, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 4247.896806206763, ""q_perf_over_q_met"": 1.0993521755193487, ""skin_C"": 31.019958030732425}",-0.0014748763414331734,0.0,451.251607522433,5.890513834142164,9.318388836027282,5.890513834142153
humpback,Humpback Whale,blubber_cond_0p83,blubber conductance,0.83x,Conductance-equivalent +20% blubber thickness,-2.0,active,25.0,5.0,0.5,1.0,0.0,0.8333333333333334,1.0,35.62385490823726,-2.3527093593502855,36.499107405800714,24951.3734803747,515.248247778292,-0.8966684302737565,0.44670851691439367,0.19044183713514945,6.4573947930576345,True,,"{""deep_body_C"": 36.0468388657269, ""interface_C"": 34.80814120464646, ""q_balance_resid_frac"": 4.57242685613937e-05, ""q_loss_W"": 24951.3734803747, ""q_loss_over_q_met"": 6.4573947930576345, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 21086.232597072707, ""q_perf_over_q_met"": 5.45709953340391, ""skin_C"": 1.6045458336277534}",0.024713090565228413,0.0,-943.2929433793834,-3.642807858355216,-19.479089461754143,-3.642807858355243
humpback,Humpback Whale,blubber_cond_0p83,blubber conductance,0.83x,Conductance-equivalent +20% blubber thickness,10.0,active,25.0,5.0,0.5,1.0,0.0,0.8333333333333334,1.0,35.77176713787014,9.76696136325279,36.48006627029372,17163.961459113445,354.43744504479,-0.8951481511919889,0.44865253348627143,0.19041786683058465,4.442019011157724,True,,"{""deep_body_C"": 36.05332173664806, ""interface_C"": 35.22685768957888, ""q_balance_resid_frac"": 4.1051773772205716e-05, ""q_loss_W"": 17163.96145911344, ""q_loss_over_q_met"": 4.442019011157723, ""q_met_W"": 3864.0, ""q_met_direct_W"": 3864.0, ""q_perf_net_W"": 13299.256848050587, ""q_perf_over_q_met"": 3.441836658398185, ""skin_C"": 12.48188088849082}",0.016931962210207985,0.0,-647.2010850928564,-3.633682436430187,-13.364764281076248,-3.6336824364302016
